"sc-hqGPoI href","sc-s1isp7-5 src","sc-1hez2tp-0","sc-1hp8d8a-0","sc-1q7bklc-1","sc-rbbb40-0","sc-1hez2tp-0 2","sc-1hez2tp-0 3","min-basic-info-right","sc-hqGPoI href 2","sc-s1isp7-5 src 2","sc-1hez2tp-0 4","sc-1hp8d8a-0 2","sc-1q7bklc-1 2","sc-rbbb40-0 2","sc-1hez2tp-0 5","sc-1hez2tp-0 6","min-basic-info-right 2","sc-hqGPoI href 3","sc-s1isp7-5 src 3","sc-1hez2tp-0 7","sc-1hp8d8a-0 3","sc-1q7bklc-1 3","sc-rbbb40-0 3","sc-1hez2tp-0 8","sc-1hez2tp-0 9","min-basic-info-right 3"
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://www.zomato.com/ahmedabad/punjab-paratha-hub-1-navrangpura/order","https://b.zmtcdn.com/data/pictures/7/19948177/43a0689f102563b0c4d391c00ff0157f_o2_featured_v2.jpg?output-format=webp","₹100 OFF","Punjab Paratha Hub","4.0","star-fill","North Indian, Chinese, Beverages,","₹150 for one","20 min","https://www.zomato.com/ahmedabad/la-pinoz-pizza-1-naranpura/order","https://b.zmtcdn.com/data/pictures/1/19769671/04112c8943533daa6d2465256856c7da_o2_featured_v2.jpg?output-format=webp","Flat 25% OFF","La Pino'z Pizza","4.2","star-fill","Pizza, Pasta, Italian, Fast Food","₹200 for one","18 min","https://www.zomato.com/ahmedabad/big-bowl-c-g-road/order","https://b.zmtcdn.com/data/pictures/9/20495909/08562eb8750e929baeb09abb227b223c_o2_featured_v2.jpg?output-format=webp","₹300 OFF","Big Bowl","3.9","star-fill","North Indian, Chinese, Momos","₹200 for one","28 min"
"https://www.zomato.com/ahmedabad/vittle-box-navrangpura/order","https://b.zmtcdn.com/data/pictures/6/18539026/a0828c1f9a7a2a8a0e9d1f4f93c3acd5_o2_featured_v2.jpg?output-format=webp","₹100 OFF","Vittle Box","","","Chinese, North Indian, Gujarati, Sandwich, Indo-Chinese, Thai","₹200 for one","22 min","https://www.zomato.com/ahmedabad/jay-bhavani-vadapav-3-navrangpura/order","https://b.zmtcdn.com/data/pictures/9/20089259/e39db3d55e2a6b1cfb7f87467b0a4216_o2_featured_v2.jpg?output-format=webp","₹100 OFF","Jay Bhavani Vadapav","3.8","star-fill","Street Food, Fast Food, Sandwich, Beverages","₹100 for one","20 min","https://www.zomato.com/ahmedabad/sahi-dahiwade-delhi-chaat-astodia/order","https://b.zmtcdn.com/data/pictures/3/21862283/e9d55cc6991102dfdab6810c7271a0d7_o2_featured_v2.jpg?output-format=webp","₹100 OFF","Sahi Dahiwade & Delhi Chaat","4.0","star-fill","North Indian, Street Food","₹100 for one","32 min"
"https://www.zomato.com/ahmedabad/burger-king-c-g-road/order","https://b.zmtcdn.com/data/pictures/7/18855707/cc8f83eb4e1cb9421c88bfb16fb7a82e_o2_featured_v2.jpg?output-format=webp","₹100 OFF","Burger King","4.3","star-fill","Burger, Fast Food, Desserts, Beverages","₹200 for one","26 min","https://www.zomato.com/ahmedabad/dominos-pizza-c-g-road/order","https://b.zmtcdn.com/data/pictures/6/110116/9004253686045a3c6737a74618c3ed84_o2_featured_v2.jpg?output-format=webp","50% OFF","Domino's Pizza","","","Pizza, Italian, Fast Food, Desserts","₹200 for one","23 min","https://www.zomato.com/ahmedabad/taco-bell-c-g-road/order","https://b.zmtcdn.com/data/pictures/0/20265850/c44457c925c60999e744c318e594f96c_o2_featured_v2.jpg?output-format=webp","Flat 20% OFF","Taco Bell","3.9","star-fill","Fast Food, Mexican","₹250 for one","23 min"
"https://www.zomato.com/ahmedabad/boleto-vadapav-navrangpura/order","https://b.zmtcdn.com/data/pictures/2/21355762/b941d51aa17761f1a969fcd7fd931c37_o2_featured_v2.jpg","₹100 OFF","Boleto Vadapav","4.1","star-fill","Street Food","₹40 for one","17 min","https://www.zomato.com/ahmedabad/mcdonalds-ashram-road/order","https://b.zmtcdn.com/data/pictures/1/110271/f2090f1e2f204be9497a6e4843259363_o2_featured_v2.jpg","₹80 OFF","McDonald's","4.1","star-fill","Burger, Fast Food, Beverages","₹200 for one","17 min","https://www.zomato.com/ahmedabad/gwalia-sweets-fast-food-navrangpura/order","https://b.zmtcdn.com/data/pictures/3/110573/1d3275558c0e849798e9531061f68cbb_o2_featured_v2.jpg","","Gwalia Sweets & Fast Food","4.2","star-fill","Mithai, Street Food, Desserts, Beverages","₹100 for one","20 min"
"https://www.zomato.com/ahmedabad/honest-2-ashram-road/order","https://b.zmtcdn.com/data/pictures/8/20435628/1dbc82e76605d26e0c329617cabfa2dc_o2_featured_v2.jpg","₹100 OFF","Honest","4.2","star-fill","South Indian, Chinese, Fast Food, North Indian, Pizza","₹200 for one","21 min","https://www.zomato.com/ahmedabad/hl-frankie-navrangpura/order","https://b.zmtcdn.com/data/pictures/3/20364973/ed1e82e09443b18678b6b56003819174_o2_featured_v2.jpg","₹100 OFF","HL Frankie","4.2","star-fill","Fast Food, Burger, Street Food, Sandwich, Chinese, Beverages","₹200 for one","18 min","https://www.zomato.com/ahmedabad/wendys-burgers-navrangpura/order","https://b.zmtcdn.com/data/pictures/4/20579524/bc853abd4e07ec8d96793c784c5c031d_o2_featured_v2.jpg","Flat 30% OFF","Wendy's Burgers","3.8","star-fill","Burger, Fast Food, American","₹200 for one","23 min"
"https://www.zomato.com/ahmedabad/shakti-the-sandwich-shop-navrangpura/order","https://b.zmtcdn.com/data/pictures/7/113327/9ce5b6bf7d9050e1a3d335a5db904bce_o2_featured_v2.jpg","Flat 25% OFF","Shakti - The Sandwich Shop","4.1","star-fill","Sandwich, Wraps, Pizza, Burger, Fast Food, Shake, Beverages","₹150 for one","22 min","https://www.zomato.com/ahmedabad/wow-momo-navrangpura/order","https://b.zmtcdn.com/data/pictures/chains/3/20592443/7c803609ec13fae003ec534f7c90e5db_o2_featured_v2.jpg","₹100 OFF","WOW! Momo","4.0","star-fill","Momos, Tibetan, Sichuan, Fast Food, Beverages","₹150 for one","22 min","https://www.zomato.com/ahmedabad/cake-jsk-live-cake-gurukul/order","https://b.zmtcdn.com/data/pictures/0/19428980/f38170b23ca0065372f229911c36f861_o2_featured_v2.jpg","₹100 OFF","Cake JSK Live Cake","3.8","star-fill","Bakery","₹150 for one","28 min"
"https://www.zomato.com/ahmedabad/urban-kitli-ellis-bridge/order","https://b.zmtcdn.com/data/pictures/3/113233/81f091bc094441f71fb4904e24028705_o2_featured_v2.jpg","₹100 OFF","Urban Kitli","4.1","star-fill","Sandwich, Fast Food, Street Food, Tea, Coffee, Beverages, Panini","₹100 for one","23 min","https://www.zomato.com/ahmedabad/kfc-navrangpura/order","https://b.zmtcdn.com/data/pictures/1/21544661/22cde0c65c7afa92557454cf692de99e_o2_featured_v2.jpg","₹100 OFF","KFC","3.8","star-fill","Burger, Fast Food, Rolls","₹200 for one","27 min","https://www.zomato.com/ahmedabad/the-belgian-waffle-co-navrangpura/order","https://b.zmtcdn.com/data/pictures/7/18573387/33577c3c5af9c43de9af04ecb8e401e6_o2_featured_v2.jpg","10% OFF","The Belgian Waffle Co.","4.3","star-fill","Waffle, Pancake, Ice Cream, Desserts, Beverages, Shake","₹200 for one","23 min"
"https://www.zomato.com/ahmedabad/hocco-eatery-navrangpura/order","https://b.zmtcdn.com/data/pictures/4/111754/ed042a2c3dcb20ab1eff42a4fcc86590_o2_featured_v2.jpg","₹100 OFF","Hocco Eatery","4.3","star-fill","Pizza, Sandwich, Fast Food, Street Food, Ice Cream, Shake, Burger","₹250 for one","22 min","https://www.zomato.com/ahmedabad/mahalaxmi-bhaji-pav-manekchowk-wala-ellis-bridge/order","https://b.zmtcdn.com/data/pictures/9/18603039/82f2dfda09dd26b2ed28413cb10e20b0_o2_featured_v2.jpg","₹100 OFF","Mahalaxmi Bhaji Pav-Manekchowk Wala","4.3","star-fill","Street Food","₹200 for one","22 min","https://www.zomato.com/ahmedabad/tea-post-4-navrangpura/order","https://b.zmtcdn.com/data/pictures/4/21905464/ed53d906e0fdc1e7c419e7129df27738_o2_featured_v2.jpg","₹100 OFF","Tea Post","4.3","star-fill","Tea, Coffee, Sandwich, Fast Food, Street Food, Beverages","₹200 for one","24 min"
"https://www.zomato.com/ahmedabad/ajays-relief-road/order","https://b.zmtcdn.com/data/pictures/6/21111886/5fdc374a6932b8b4a3d8724671724101_featured_v2.jpg","₹100 OFF","Ajay's","4.0","star-fill","Burger, Pizza, Fast Food","₹40 for one","25 min","https://www.zomato.com/ahmedabad/lunchbox-meals-thalis-c-g-road/order","https://b.zmtcdn.com/data/pictures/9/19411839/135bb25fc6812fc76c19c49264103300_o2_featured_v2.jpg","Flat 25% OFF","Lunchbox - Meals & Thalis","3.8","star-fill","North Indian, Biryani, Mughlai","₹150 for one","27 min","https://www.zomato.com/ahmedabad/united-farmers-creamery-navrangpura/order","https://b.zmtcdn.com/data/pictures/chains/7/20337127/5d3b3dcc12b4f357c754a3441bb9e306_o2_featured_v2.jpg","₹100 OFF","United Farmers Creamery","4.1","star-fill","Ice Cream, Shake, Beverages, Waffle, Desserts","₹200 for one","13 min"
